"link","link"
"An error has occurred. Please, try again later","Bir hata oluştu. Lütfen daha sonra tekrar deneyiniz"
"Action.FlightSheetRemoved","Havuz Şablonu Başarıyla Kaldırıldı"
"Action.FlightSheetCreated","Havuz Şablonu Başarıyla Oluşturuldu"
"Command sent","Komut Gönderildi"
"Action.TransferFarm","Sahip değişikliği isteği gönderildi"
"Settings updated","Ayarlar güncellendi"
"Tag added","Etiket eklendi"
"Tag edited","Etiket düzenlendi"
"Tag removed","Etiket kaldırıldı"
"Wallet added","Cüzdan eklendi"
"Wallet edited","Cüzdan düzenledi"
"Wallet removed","Cüzdan kaldırıldı"
"Collaborator added","Uzak yardımcı eklendi"
"Collaborator removed","Uzak yardımcı kaldırıldı"
"Collaborator edited","Uzak yardımcı değiştirildi"
"Action.LeftFarm","Çiftlikten ayrıldınız"
"Action.UpdateFs","Havuz şablonu başarıyla güncellendi. Çevrimdışı işçiler değişiklikleri görmek için yeniden başlatılmalı"
"Action.AddOC","Hız aşırtma Profili başarıyla oluşturuldu"
"Action.RefillFarm","Çiftlik bakiyesi yeniden dolduruldu"
"Action.ErrorServerRequest","Bir hata oluştu. Lütfen daha sonra tekrar deneyiniz"
"Error","Hata"
"Action.SendPromocode","Başarıyla abone oldunuz"
"Action.PatchToken","Token başarıyla güncellendi"
"Action.AddToken","Token başarıyla oluşturuldu"
"Action.DeleteToken","Token başarıyla iptal edildi"
"Promocode successfully sended","Promosyon kodu başarıyla gönderildi"
"Action.UpdatePayoutAddresses","Adres başarıyla değiştirildi"
"Action.PayoutToAccount","Hesap bakiyeniz başarıyla yeniden dolduruldu"
"Action.SetPassword","Şifre başarıyla güncellendi"
"2FA enabled","2FA etkin"
"2FA removed","2FA kaldırıldı"
"NVIDIA","NVIDIA"
"Apply","Uygula"
"Confirm","Onayla"
"TelegramSubscribe","Abone olmak için telegram kimliğini girin"
"Enter code to confirm","Onaylamak için kodu girin"
"Subscribe","Abone ol"
"Remove","Kaldır"
"Are you shure?","Emin misiniz?"
"Edit","Düzenle"
"temp","Sıcaklık"
"Farms","Çiftlikler"
"workers","İşçiler"
"ethash","ethash"
"CriticalIssues","Kritik Sorunlar"
"Off","kapalı"
"30 seconds","30 saniye"
"1 minute","1 dakika"
