"link","链接"
"An error has occurred. Please, try again later","发生一个错误，请稍后重试。"
"Action.FlightSheetRemoved","飞行表成功移除"
"Action.FlightSheetCreated","飞行表成功创建"
"Command sent","指令已发送"
"Action.TransferFarm","所有者变更请求已发送"
"Settings updated","设置已更新"
"Tag added","标签已添加"
"Tag edited","标签已更改"
"Tag removed","标签已移除"
"Wallet added","钱包已添加"
"Wallet edited","钱包已更改"
"Wallet removed","钱包已移除"
"Collaborator added","协作者已添加"
"Collaborator removed","协作者已移除"
"Collaborator edited","协作者已更改"
"Action.LeftFarm","您已经离开矿场"
"Action.UpdateFs","飞行表成功更新，离线矿机需要重启才能生效。"
"Action.AddOC","超频文件已成功创建"
"Action.RefillFarm","矿场余额已充值"
"Action.ErrorServerRequest","发生一个错误，请稍后重试。"
"Error","错误"
"Action.SendPromocode","您已成功订阅"
"Action.PatchToken","Token已成功更新"
"Action.AddToken","Token已成功创建"
"Action.DeleteToken","Token已成功删除"
"Promocode successfully sended","邀请码已成功发送"
"Action.UpdatePayoutAddresses","地址已成功更改"
"Action.PayoutToAccount","您的账户已成功充值"
"Action.SetPassword","密码已成功更新"
"2FA enabled","二步验证已开启"
"2FA removed","二步验证已关闭"
"",""
"NVIDIA","NVIDIA"
"Apply","应用"
"Confirm","确认"
"TelegramSubscribe","输入Telegram ID 进行订阅"
"Enter code to confirm","请输入验证码确认"
"Subscribe","关注"
"Remove","移除"
"Are you shure?","您确定吗？"
"Edit","编辑"
"temp","温度"
"Farms","矿场"
"workers","矿机"
"ethash","ethash"
"",""
"Off","关闭"
"30 seconds","30秒"
"1 minute","1分钟"
"2 minutes","2分钟"
"5 minutes","5分钟"
"AutoRefresh","自动刷新"
"All","所有"
"Cancel","取消"
"Download VBIOS","下载 VBIOS"
"GPU index","GPU 编号"
"NotGPUDifferent","注意：GPU编号可能与PCI排序不符"
"Download","下载"
"Apply Changes","应用更改"
"WalletWorkTemplate","钱包与矿机模板"
"Pass:","密码："
"Extra config arguments:","其他配置参数："
"Pool URL:","矿池地址："
"Miner Fork:","挖矿软件分叉："
"Hash algorithm:","加密算法："
"Extra params for pool:","其他矿池参数："
"Extra arguments for miner:","其他挖矿软件参数："
"Version:","版本："
"Template examples:","模板范例："
"for most of the pools","对于大多数矿池"
"Intensity, -dcri 0...100","强度，-dcri 0至100"
"claymore","Calymore"
"epools.txt template:","epools.txt 模板："
"dpools.txt template:","dpools.txt 模板："
"Claymore config override:","Claymore配置覆盖："
"Example for nanopool:","nanopool范例："
"Example for nicehash:","nicehash 范例："
"Second coin algo","副币算法"
"Config override:","配置覆盖："
"Pool server:","矿池地址："
"Port:","端口："
