"link","ссылка"
"An error has occurred. Please, try again later","Произошла ошибка. Попробуйте позже"
"Action.FlightSheetRemoved","Полетное задание успешно удалено"
"Action.FlightSheetCreated","Полетное задание успешно создано"
"Command sent","Команда отправлена"
"Action.TransferFarm","Запрос на изменение владельца был отправлен"
"Settings updated","Настройки обновлены"
"Tag added","Тэг добавлен"
"Tag edited","Тэг отредактирован"
"Tag removed","Тэг удален"
"Wallet added","Кошелек добавлен"
"Wallet edited","Кошелек отредактирован"
"Wallet removed","Кошелек удален"
"Collaborator added","Доверенный пользователь добавлен"
"Collaborator removed","Доверенный пользователь удален"
"Collaborator edited","Доверенный пользователь отредактирован"
"Action.LeftFarm","Вы покинули ферму"
"Action.UpdateFs","Полетное задание успешно обновлено. Для воркеров которые сейчас 'не в сети', для вступления изменений в силу необходима перезагрузка"
"Action.AddOC","Профиль разгона успешно создан"
"Action.RefillFarm","Баланс фермы пополнен"
"Action.ErrorServerRequest","Произошла ошибка. Пожалуйста, попробуйте позже"
"Error","Ошибка"
"Action.SendPromocode","Ваша подписка оформлена успешно"
"Action.PatchToken","Токен успешно обновлен"
"Action.AddToken","Токен успешно создан"
"Action.DeleteToken","Токен успешно аннулирован"
"Promocode successfully sended","Промокод успешно отправлен"
"Action.UpdatePayoutAddresses","Адрес успешно изменен"
"Action.PayoutToAccount","Ваш баланс успешно пополнен"
"Action.SetPassword","Пароль успешно обновлен"
"2FA enabled","2FA разрешен"
"2FA removed","2FA удален"
"",""
"NVIDIA","NVIDIA"
"Apply","Применить"
"Confirm","Подтвердить"
"TelegramSubscribe","Введите ID Telegram чтобы подписаться"
"Enter code to confirm","Введите код для подтверждения"
"Subscribe","Подписаться"
"Remove","Удалить"
"Are you shure?","Вы уверены?"
"Edit","Редактировать"
"temp","темп-ра"
"Farms","Фермы"
"workers","воркеры"
"ethash","ethash"
"CriticalIssues","Критическая ошибка"
"Off","Выкл"
"30 seconds","30 секунд"
"1 minute","1 минута"
"2 minutes","2 минуты"
"5 minutes","5 минут"
"AutoRefresh","Таймер авто-обновления страницы"
"All","Все"
"Cancel","Отмена"
"Download VBIOS","Скачать VBIOS"
"GPU index","GPU индекс"
"NotGPUDifferent","Примечание: GPU индекс в майнере может отличаться от порядка расположения на PCI шине."
"Download","Скачать"
"Apply Changes","Применить изменения"
"WalletWorkTemplate","Кошелек и воркер шаблона:"
"Pass:","Пароль"
"Extra config arguments:","Дополн. параметры конфигурации:"
"Pool URL:","Адрес пула:"
"Miner Fork:","Форк майнера:"
"Hash algorithm:","Хэш алгоритм:"
"Extra params for pool:","Дополн. параметры для пула:"
"Extra arguments for miner:","Дополн. аргументы для майнера:"
"Version:","Версия:"
"Template examples:","Примеры шаблонов:"
"for most of the pools","для большинства пулов"
"Intensity, -dcri 0...100","Интенсивность, -dcri 0...100"
"claymore","claymore"
"epools.txt template:","epools.txt шаблон:"
